MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,ParamName,ParamValue,GroupLabel
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,aggAlpha,0.8,aggAlpha=0.8
full,Proposed detector,0.846516,0.44,0.292,0.0096,0.00115,0.0160636378755086,0.0242582776138455,20000,103,aggAlpha,0.2,aggAlpha=0.2
uniform_weight,Uniform-weight variant,0.828512,0.472,0.418,0.0113,0.00085,0.00637942698549936,0.00886352162784093,20000,103,aggAlpha,0.2,aggAlpha=0.2
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,aggAlpha,0.2,aggAlpha=0.2
full,Proposed detector,0.848396,0.436,0.338,0.00935,0.0009,0.0242160975696409,0.0352442527331528,20000,103,aggAlpha,0.4,aggAlpha=0.4
uniform_weight,Uniform-weight variant,0.831588,0.472,0.42,0.01135,0.0009,0.00914752020892752,0.0124413396939341,20000,103,aggAlpha,0.4,aggAlpha=0.4
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,aggAlpha,0.4,aggAlpha=0.4
full,Proposed detector,0.848336,0.436,0.352,0.00895,0.001,0.0326108571405891,0.046817497913496,20000,103,aggAlpha,0.6,aggAlpha=0.6
uniform_weight,Uniform-weight variant,0.832908,0.47,0.422,0.01,0.00105,0.0123088469499032,0.016205710690214,20000,103,aggAlpha,0.6,aggAlpha=0.6
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,aggAlpha,0.6,aggAlpha=0.6
full,Proposed detector,0.847804,0.432,0.36,0.00885,0.0009,0.0415152144945403,0.0586087951536494,20000,103,aggAlpha,0.8,aggAlpha=0.8
uniform_weight,Uniform-weight variant,0.83212,0.468,0.42,0.01,0.00105,0.0155462594353287,0.0201740706406475,20000,103,aggAlpha,0.8,aggAlpha=0.8
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,aggAlpha,0.8,aggAlpha=0.8
full,Proposed detector,0.799304,0.454,0.414,0.0094,0.00125,0.0162938648750284,0.0231653674879055,20000,104,aggAlpha,0.2,aggAlpha=0.2
uniform_weight,Uniform-weight variant,0.801248,0.44,0.402,0.0094,0.0013,0.00758276673085217,0.0103242729528612,20000,104,aggAlpha,0.2,aggAlpha=0.2
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,aggAlpha,0.2,aggAlpha=0.2
full,Proposed detector,0.813992,0.45,0.414,0.00915,0.0015,0.024447243354149,0.0333403910885316,20000,104,aggAlpha,0.4,aggAlpha=0.4
uniform_weight,Uniform-weight variant,0.812244,0.44,0.404,0.00895,0.00145,0.0114419948197141,0.0148898102032851,20000,104,aggAlpha,0.4,aggAlpha=0.4
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,aggAlpha,0.4,aggAlpha=0.4
full,Proposed detector,0.8243,0.446,0.414,0.0088,0.0016,0.033324266518067,0.0440299970400979,20000,104,aggAlpha,0.6,aggAlpha=0.6
uniform_weight,Uniform-weight variant,0.818872,0.438,0.404,0.00795,0.00145,0.0155951880643268,0.0196428776655926,20000,104,aggAlpha,0.6,aggAlpha=0.6
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,aggAlpha,0.6,aggAlpha=0.6
full,Proposed detector,0.830416,0.444,0.412,0.0083,0.00135,0.0425068402282481,0.0564867791575572,20000,104,aggAlpha,0.8,aggAlpha=0.8
uniform_weight,Uniform-weight variant,0.82134,0.434,0.404,0.00845,0.0017,0.0197133378329011,0.0244458177164814,20000,104,aggAlpha,0.8,aggAlpha=0.8
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,aggAlpha,0.8,aggAlpha=0.8
full,Proposed detector,0.825868,0.454,0.426,0.00935,0.00175,0.0134919939358414,0.0196992861827522,20000,105,aggAlpha,0.2,aggAlpha=0.2
uniform_weight,Uniform-weight variant,0.817676,0.448,0.426,0.01085,0.0017,0.00603134877342281,0.0083239311502092,20000,105,aggAlpha,0.2,aggAlpha=0.2
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,aggAlpha,0.2,aggAlpha=0.2
full,Proposed detector,0.83504,0.454,0.422,0.0099,0.00075,0.0198594269395931,0.0299187444361177,20000,105,aggAlpha,0.4,aggAlpha=0.4
uniform_weight,Uniform-weight variant,0.823596,0.444,0.424,0.01045,0.001,0.00879253709204727,0.0125490863461399,20000,105,aggAlpha,0.4,aggAlpha=0.4
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,aggAlpha,0.4,aggAlpha=0.4
full,Proposed detector,0.838728,0.454,0.418,0.0102,0.00085,0.0267887151186515,0.0393331429227217,20000,105,aggAlpha,0.6,aggAlpha=0.6
uniform_weight,Uniform-weight variant,0.825196,0.442,0.418,0.0099,0.00085,0.0116543520243051,0.0170285473719892,20000,105,aggAlpha,0.6,aggAlpha=0.6
